Scientificname,Biologicalname,Medicinalvalue
Abelmoschus sagittifolius,Arrowleaf Sida,Used for treating inflammation and digestive issues.
Abrus precatorius,Rosary Pea,"Used for anti-inflammatory and analgesic properties, but highly toxic if not prepared correctly."
Abutilon indicum,Indian Mallow,"Used for its anti-inflammatory, analgesic, and antimicrobial properties."
Acanthus integrifolius,Thorny Oyster Plant,Used for its anti-inflammatory and wound-healing properties.
Acorus tatarinowii,Sweet Flag,"Used for digestive aid, anti-inflammatory, and calming properties."
Agave americana,Century Plant,"Used for its wound healing, digestive aid, and as a laxative."
Ageratum conyzoides,Goatweed,"Used for its anti-
inflammatory, analgesic, and antimicrobial properties."
Allium ramosum,Chinese Chives,Used for its antioxidant properties and digestive aid.
Alocasia macrorrhizos,Giant Taro,Used for its anti-inflammatory and wound healing properties.
Aloe vera,Aloe,"Used for its soothing, moisturizing, and healing properties for skin."
Alpinia officinarum,Galangal,Used for digestive issues and anti-inflammatory properties.
Amomum longiligulare,Cardamom,Used for digestive aid and respiratory health.
Ampelopsis cantoniensis,Chinese Ampelopsis,Used for its anti-inflammatory and analgesic effects.
Andrographis paniculata,King of Bitters,Used for immune support and anti-inflammatory properties.
Angelica dahurica,Dahurian Angelica,"Used for treating headaches, colds, and respiratory issues."
Ardisia sylvestris,Wild Ardisia,Used for its anti-inflammatory and analgesic properties.
Artemisia vulgaris,Mugwort,"Used for digestive health, menstrual regulation, and as a herbal remedy for anxiety."
Artocarpus altilis,Breadfruit,Rich in nutrients; used for digestive health and as a food source.
Artocarpus heterophyllus,Jackfruit,Used for its antioxidant properties and digestive benefits.
Artocarpus lakoocha,Monkey Jack,Used for its anti-inflammatory and antibacterial properties.
Asparagus cochinchinensis,Chinese Asparagus,Used for its diuretic and anti-inflammatory properties.
Asparagus officinalis,Asparagus,Rich in vitamins; used for its antioxidant and anti-inflammatory benefits.
Averrhoa carambola,Starfruit,Rich in vitamin C; used for its antioxidant properties and digestive health.
Baccaurea sp,Rambai,Used for its anti-inflammatory and antioxidant properties.
Barleria lupulina,Himalayan Barleria,Used for its antimicrobial and anti-inflammatory effects.
Bengal Arum,Bengal Arum,Used for its anti-inflammatory and analgesic properties.
Berchemia lineata,Blackberry Lily,Used for its astringent and anti-inflammatory effects.
Bidens pilosa,Spanish Needle,"Used for its antimicrobial, anti-inflammatory, and wound-healing properties."
Bischofia trifoliata,Bischofia,Used for its anti-inflammatory and analgesic effects.
Blackberry Lily,Blackberry Lily,Used for its diuretic and anti-inflammatory properties.
Blumea balsamifera,Balsam Plant,Used for its anti-inflammatory and analgesic properties.
Boehmeria nivea,Ramie,Used for its anti-inflammatory and antioxidant effects.
Breynia vitis,Breynia,Used for its anti-inflammatory and astringent properties.
Caesalpinia sappan,Sappan Wood,Used for its antioxidant and anti-inflammatory benefits.
Callerya speciosa,Tamarind Tree,Used for its antidiabetic and antimicrobial properties.
Callisia fragrans,Horsetail Plant,"Used for its healing properties, especially for wounds and respiratory issues."
Calophyllum inophyllum,Tamanu Tree,Used for its skin healing and anti-inflammatory properties.
Calotropis gigantea,Crown Flower,"Used for its analgesic, anti-inflammatory, and antimicrobial effects."
Camellia chrysantha,Golden Camellia,Used for its antioxidant properties and potential cancer-fighting effects.
Caprifoliaceae,Honeysuckle Family,"Used for various medicinal purposes, including anti-inflammatory and antioxidant properties."
Capsicum annuum,Bell Pepper,Rich in vitamins; used for its antioxidant and anti-inflammatory properties.
Carica papaya,Papaya,"Used for digestive health, skin benefits, and anti-inflammatory effects."
Catharanthus roseus,Madagascar Periwinkle,Used for its anti-cancer properties and to regulate blood sugar.
Celastrus hindsii,Chinese Celastrus,Used for its anti-inflammatory and antioxidant properties.
Celosia argentea,Cockscomb,Used for its anti-inflammatory and wound-healing properties.
Centella asiatica,Gotu Kola,"Used for enhancing cognitive function, wound healing, and anti-inflammatory properties."
Citrus aurantifolia,Lime,Rich in vitamin C; used for its antioxidant and digestive benefits.
Citrus hystrix,Kaffir Lime,Used for its antimicrobial properties and in traditional medicine for respiratory issues.
Clausena indica,Indian Clausena,Used for its anti-inflammatory and antimicrobial effects.
Cleistocalyx operculatus,Java Plum,Used for its antioxidant properties and to improve digestive health.
Clerodendrum inerme,Seaside Clerodendrum,Used for its anti-inflammatory and analgesic properties.
Clinacanthus nutans,Green Chiretta,Used for its antiviral and anti-inflammatory effects.
Glycyrrhiza uralensis,Licorice Root,Used for its soothing properties and to relieve digestive issues.
Coix lacryma-jobi,Job's Tears,Used for its diuretic properties and to support digestive health.
Cordyline fruticosa,Ti Plant,Used for its antimicrobial and wound healing properties.
Costus speciosus,Crepe Ginger,Used for its anti-inflammatory and analgesic properties.
Crescentia cujete,Calabash Tree,Used for its digestive aid and to treat respiratory conditions.
Crinum asiaticum,Asian Crinum Lily,Used for its anti-inflammatory and wound healing properties.
Crinum latifolium,Broadleaf Crinum,Used for its analgesic and anti-inflammatory effects.
Croton oblongifolius,Croton,Used for its antimicrobial and anti-inflammatory properties.
Croton tonkinensis,Vietnamese Croton,Used for its anti-inflammatory and antimicrobial properties.
Curculigo gracilis,Curculigo,Used for its tonic effects and to support reproductive health.
Curculigo orchioides,Black Musli,Used for its aphrodisiac properties and to enhance vitality.
Cymbopogon,Lemongrass,"Used for its digestive benefits, antimicrobial properties, and stress relief."
Datura metel,Devil's Trumpet,"Used for its analgesic and antispasmodic effects, but must be used cautiously due to toxicity."
Derris elliptica,Toxicodendron,Used traditionally for its insecticidal and anti-inflammatory properties.
Dianella ensifolia,Blue Flax Lily,Used for its anti-inflammatory effects and as a traditional remedy.
Dicliptera chinensis,Chinese Dicliptera,Used for its anti-inflammatory and analgesic properties.
Dimocarpus longan,Longan,Rich in antioxidants; used to improve sleep and reduce stress.
Dioscorea persimilis,African Yam,Used for its nutritional value and potential anti-diabetic properties.
Eichhornia crassipes,Water Hyacinth,Used for its diuretic properties and to improve water quality.
Eleutherine bulbosa,Eleutherine,Used for its anti-inflammatory and wound healing properties.
Erythrina variegata,Variegated Coral Tree,Used for its analgesic and sedative effects.
Eupatorium fortunei,Japanese Boneset,Used for its anti-inflammatory and immunomodulatory properties.
Eupatorium triplinerve,Three-nerved Eupatorium,Used for its anti-inflammatory and diuretic effects.
Euphorbia hirta,Asthma Plant,Used for treating respiratory issues and has anti-inflammatory properties.
Euphorbia pulcherrima,Poinsettia,Traditionally used for skin ailments and has mild anti-inflammatory effects.
Euphorbia tirucalli,Pencil Tree,Used for its antiseptic properties and to treat warts.
Euphorbia tithymaloides,Crown of Thorns,Used for its antimicrobial and anti-inflammatory effects.
Eurycoma longifolia,Tongkat Ali,Used as an aphrodisiac and to enhance male fertility.
Excoecaria cochinchinensis,Blind-your-eye Tree,Used for its anti-inflammatory and wound healing properties.
Excoecaria sp,Excoecaria,Used in traditional medicine for its antimicrobial effects.
Fallopia multiflora,Fo-Ti,Used for its potential anti-aging and liver health benefits.
Ficus auriculata,Wild Fig,Used for its astringent properties and to treat digestive issues.
Ficus racemosa,Cluster Fig,Used for its antidiabetic and anti-inflammatory effects.
Fructus lycii,Goji Berry,Rich in antioxidants; used to boost immune function and improve eyesight.
Glochidion eriocarpum,Glochidion,Used traditionally for its anti-inflammatory and astringent properties.
Glycosmis pentaphylla,Chinese Orange Berry,Used for its digestive benefits and anti-inflammatory effects.
Gonocaryum lobbianum,Gonocaryum,Used for its potential antibacterial and anti-inflammatory properties.
